"Block","X","Y","Exact_dFdx","Approx_dFdx","Exact_dFdy","Approx_dFdy","Exact_Lapl","Approx_Lapl"
 1,  0.0047,  0.0027,  0.3141141E+01,  0.3141142E+01, -0.3888742E-03, -0.3888470E-03, -0.2905078E+00, -0.2933274E+00
 1,  0.0057,  0.0027,  0.3140975E+01,  0.3140975E+01, -0.4742609E-03, -0.4742278E-03, -0.3542958E+00, -0.3541982E+00
 1,  0.0070,  0.0027,  0.3140729E+01,  0.3140729E+01, -0.5782035E-03, -0.5781631E-03, -0.4319459E+00, -0.4320453E+00
 1,  0.0085,  0.0027,  0.3140364E+01,  0.3140364E+01, -0.7046394E-03, -0.7045902E-03, -0.5263996E+00, -0.5265043E+00
 1,  0.0103,  0.0027,  0.3139824E+01,  0.3139824E+01, -0.8582944E-03, -0.8582344E-03, -0.6411873E+00, -0.6413163E+00
 1,  0.0126,  0.0027,  0.3139024E+01,  0.3139024E+01, -0.1044817E-02, -0.1044744E-02, -0.7805284E+00, -0.7806853E+00
 1,  0.0153,  0.0027,  0.3137845E+01,  0.3137845E+01, -0.1270921E-02, -0.1270832E-02, -0.9494393E+00, -0.9496302E+00
 1,  0.0186,  0.0027,  0.3136109E+01,  0.3136109E+01, -0.1544538E-02, -0.1544430E-02, -0.1153844E+01, -0.1154076E+01
 1,  0.0226,  0.0027,  0.3133562E+01,  0.3133562E+01, -0.1874952E-02, -0.1874820E-02, -0.1400679E+01, -0.1400961E+01
 1,  0.0274,  0.0027,  0.3129836E+01,  0.3129836E+01, -0.2272913E-02, -0.2272754E-02, -0.1697975E+01, -0.1698317E+01
 1,  0.0332,  0.0027,  0.3124411E+01,  0.3124411E+01, -0.2750688E-02, -0.2750496E-02, -0.2054897E+01, -0.2055310E+01
 1,  0.0401,  0.0027,  0.3116553E+01,  0.3116553E+01, -0.3322007E-02, -0.3321775E-02, -0.2481700E+01, -0.2482199E+01
 1,  0.0484,  0.0027,  0.3105240E+01,  0.3105240E+01, -0.4001829E-02, -0.4001550E-02, -0.2989559E+01, -0.2990160E+01
 1,  0.0582,  0.0027,  0.3089079E+01,  0.3089079E+01, -0.4805850E-02, -0.4805514E-02, -0.3590202E+01, -0.3590923E+01
 1,  0.0698,  0.0027,  0.3066200E+01,  0.3066200E+01, -0.5749632E-02, -0.5749230E-02, -0.4295252E+01, -0.4296116E+01
