"block_id","direction","knot_value"
    1,"x",  0.000000
    1,"x",  0.000000
    1,"x",  0.000000
    1,"x",  0.000000
    1,"x",  0.006388
    1,"x",  0.008702
    1,"x",  0.011840
    1,"x",  0.016084
    1,"x",  0.021801
    1,"x",  0.029461
    1,"x",  0.039657
    1,"x",  0.053101
    1,"x",  0.070615
    1,"x",  0.093075
    1,"x",  0.121302
    1,"x",  0.155890
    1,"x",  0.196984
    1,"x",  0.244052
    1,"x",  0.295753
    1,"x",  0.350000
    1,"x",  0.404247
    1,"x",  0.455948
    1,"x",  0.503016
    1,"x",  0.544110
    1,"x",  0.578698
    1,"x",  0.606925
    1,"x",  0.629385
    1,"x",  0.646899
    1,"x",  0.660343
    1,"x",  0.670539
    1,"x",  0.678199
    1,"x",  0.683916
    1,"x",  0.688160
    1,"x",  0.691298
    1,"x",  0.693612
    1,"x",  0.700000
    1,"x",  0.700000
    1,"x",  0.700000
    1,"x",  0.700000
    1,"y",  0.000000
    1,"y",  0.000000
    1,"y",  0.000000
    1,"y",  0.000000
    1,"y",  0.004795
    1,"y",  0.008553
    1,"y",  0.015144
    1,"y",  0.026468
    1,"y",  0.045266
    1,"y",  0.074741
    1,"y",  0.117076
    1,"y",  0.170798
    1,"y",  0.229202
    1,"y",  0.282924
    1,"y",  0.325259
    1,"y",  0.354734
    1,"y",  0.373532
    1,"y",  0.384856
    1,"y",  0.391447
    1,"y",  0.395205
    1,"y",  0.400000
    1,"y",  0.400000
    1,"y",  0.400000
    1,"y",  0.400000
    2,"x",  0.000000
    2,"x",  0.000000
    2,"x",  0.000000
    2,"x",  0.000000
    2,"x",  0.006388
    2,"x",  0.008702
    2,"x",  0.011840
    2,"x",  0.016084
    2,"x",  0.021801
    2,"x",  0.029461
    2,"x",  0.039657
    2,"x",  0.053101
    2,"x",  0.070615
    2,"x",  0.093075
    2,"x",  0.121302
    2,"x",  0.155890
    2,"x",  0.196984
    2,"x",  0.244052
    2,"x",  0.295753
    2,"x",  0.350000
    2,"x",  0.404247
    2,"x",  0.455948
    2,"x",  0.503016
    2,"x",  0.544110
    2,"x",  0.578698
    2,"x",  0.606925
    2,"x",  0.629385
    2,"x",  0.646899
    2,"x",  0.660343
    2,"x",  0.670539
    2,"x",  0.678199
    2,"x",  0.683916
    2,"x",  0.688160
    2,"x",  0.691298
    2,"x",  0.693612
    2,"x",  0.700000
    2,"x",  0.700000
    2,"x",  0.700000
    2,"x",  0.700000
    2,"y",  0.400000
    2,"y",  0.400000
    2,"y",  0.400000
    2,"y",  0.400000
    2,"y",  0.405798
    2,"y",  0.408361
    2,"y",  0.412035
    2,"y",  0.417274
    2,"y",  0.424699
    2,"y",  0.435122
    2,"y",  0.449566
    2,"y",  0.469221
    2,"y",  0.495321
    2,"y",  0.528873
    2,"y",  0.570251
    2,"y",  0.618746
    2,"y",  0.672301
    2,"y",  0.727699
    2,"y",  0.781254
    2,"y",  0.829749
    2,"y",  0.871127
    2,"y",  0.904679
    2,"y",  0.930779
    2,"y",  0.950434
    2,"y",  0.964878
    2,"y",  0.975301
    2,"y",  0.982726
    2,"y",  0.987965
    2,"y",  0.991639
    2,"y",  0.994202
    2,"y",  1.000000
    2,"y",  1.000000
    2,"y",  1.000000
    2,"y",  1.000000
    3,"x",  0.700000
    3,"x",  0.700000
    3,"x",  0.700000
    3,"x",  0.700000
    3,"x",  0.704580
    3,"x",  0.710334
    3,"x",  0.722757
    3,"x",  0.747661
    3,"x",  0.790882
    3,"x",  0.850000
    3,"x",  0.909118
    3,"x",  0.952339
    3,"x",  0.977243
    3,"x",  0.989666
    3,"x",  0.995420
    3,"x",  1.000000
    3,"x",  1.000000
    3,"x",  1.000000
    3,"x",  1.000000
    3,"y",  0.400000
    3,"y",  0.400000
    3,"y",  0.400000
    3,"y",  0.400000
    3,"y",  0.405798
    3,"y",  0.408361
    3,"y",  0.412035
    3,"y",  0.417274
    3,"y",  0.424699
    3,"y",  0.435122
    3,"y",  0.449566
    3,"y",  0.469221
    3,"y",  0.495321
    3,"y",  0.528873
    3,"y",  0.570251
    3,"y",  0.618746
    3,"y",  0.672301
    3,"y",  0.727699
    3,"y",  0.781254
    3,"y",  0.829749
    3,"y",  0.871127
    3,"y",  0.904679
    3,"y",  0.930779
    3,"y",  0.950434
    3,"y",  0.964878
    3,"y",  0.975301
    3,"y",  0.982726
    3,"y",  0.987965
    3,"y",  0.991639
    3,"y",  0.994202
    3,"y",  1.000000
    3,"y",  1.000000
    3,"y",  1.000000
    3,"y",  1.000000
