"x","y","psi_numerical","psi_exact","error"
  0.0047,  0.0027,  0.1471730E-01,  0.1471730E-01, -0.1113606E-12
  0.0063,  0.0027,  0.1970409E-01,  0.1970409E-01,  0.2817573E-12
  0.0084,  0.0027,  0.2635963E-01,  0.2635963E-01,  0.1492764E-12
  0.0112,  0.0027,  0.3522546E-01,  0.3522546E-01,  0.1604272E-13
  0.0150,  0.0027,  0.4700536E-01,  0.4700536E-01,  0.3775175E-12
  0.0199,  0.0027,  0.6260270E-01,  0.6260270E-01, -0.9473256E-12
  0.0265,  0.0027,  0.8315705E-01,  0.8315705E-01,  0.1323247E-12
  0.0351,  0.0027,  0.1100696E+00,  0.1100696E+00,  0.1972866E-12
  0.0463,  0.0027,  0.1449984E+00,  0.1449984E+00,  0.3566591E-13
  0.0608,  0.0027,  0.1897891E+00,  0.1897891E+00, -0.6921796E-11
  0.0792,  0.0027,  0.2462908E+00,  0.2462908E+00,  0.6984968E-12
  0.1023,  0.0027,  0.3159930E+00,  0.3159930E+00,  0.1846301E-12
  0.1308,  0.0027,  0.3994312E+00,  0.3994312E+00, -0.1073031E-12
  0.1650,  0.0027,  0.4953898E+00,  0.4953898E+00, -0.3085920E-11
  0.2049,  0.0027,  0.6001058E+00,  0.6001058E+00,  0.7549517E-13
  0.2499,  0.0027,  0.7069216E+00,  0.7069216E+00,  0.2136957E-11
  0.2989,  0.0027,  0.8069473E+00,  0.8069473E+00, -0.4915846E-11
  0.3500,  0.0027,  0.8909750E+00,  0.8909750E+00, -0.1178335E-10
  0.4011,  0.0027,  0.9520877E+00,  0.9520877E+00, -0.1279199E-10
  0.4501,  0.0027,  0.9876888E+00,  0.9876888E+00, -0.5264233E-11
  0.4951,  0.0027,  0.9998470E+00,  0.9998470E+00, -0.6269540E-11
  0.5350,  0.0027,  0.9939193E+00,  0.9939193E+00, -0.1080958E-10
  0.5692,  0.0027,  0.9764255E+00,  0.9764255E+00, -0.5264456E-11
  0.5977,  0.0027,  0.9532701E+00,  0.9532701E+00,  0.1723066E-12
  0.6208,  0.0027,  0.9288326E+00,  0.9288326E+00,  0.1187606E-11
  0.6392,  0.0027,  0.9058391E+00,  0.9058391E+00, -0.2010614E-11
  0.6537,  0.0027,  0.8856662E+00,  0.8856662E+00,  0.3006262E-11
  0.6649,  0.0027,  0.8687698E+00,  0.8687698E+00,  0.2323586E-11
  0.6735,  0.0027,  0.8550647E+00,  0.8550647E+00,  0.6353140E-11
  0.6801,  0.0027,  0.8441984E+00,  0.8441984E+00,  0.1079659E-10
  0.6850,  0.0027,  0.8357231E+00,  0.8357231E+00, -0.7470136E-11
  0.6888,  0.0027,  0.8291913E+00,  0.8291913E+00, -0.4037881E-11
  0.6916,  0.0027,  0.8242011E+00,  0.8242011E+00,  0.8327561E-11
  0.6937,  0.0027,  0.8204131E+00,  0.8204131E+00, -0.8154699E-11
  0.6953,  0.0027,  0.8175514E+00,  0.8175514E+00,  0.1307410E-10
  0.0047,  0.0045,  0.1471634E-01,  0.1471634E-01, -0.5896325E-14
  0.0063,  0.0045,  0.1969699E-01,  0.1970281E-01, -0.5821207E-05
  0.0084,  0.0045,  0.2634432E-01,  0.2635791E-01, -0.1358956E-04
  0.0112,  0.0045,  0.3519923E-01,  0.3522317E-01, -0.2393922E-04
  0.0150,  0.0045,  0.4696461E-01,  0.4700230E-01, -0.3769248E-04
  0.0199,  0.0045,  0.6254272E-01,  0.6259863E-01, -0.5590549E-04
  0.0265,  0.0045,  0.8307173E-01,  0.8315164E-01, -0.7991083E-04
  0.0351,  0.0045,  0.1099511E+00,  0.1100625E+00, -0.1113471E-03
  0.0463,  0.0045,  0.1448369E+00,  0.1449890E+00, -0.1521519E-03
  0.0608,  0.0045,  0.1895723E+00,  0.1897767E+00, -0.2044782E-03
  0.0792,  0.0045,  0.2460043E+00,  0.2462748E+00, -0.2704728E-03
  0.1023,  0.0045,  0.3156206E+00,  0.3159724E+00, -0.3518404E-03
  0.1308,  0.0045,  0.3989561E+00,  0.3994052E+00, -0.4491361E-03
  0.1650,  0.0045,  0.4947967E+00,  0.4953575E+00, -0.5608192E-03
